model,route,provider,prompt,ok,seconds,cost_usd,size,notes,file,error
"Z-Image Turbo","runware","runware","p1-magazine-cover","true","3.6","0.0006","","","runware/z-image-turbo/p1-magazine-cover.png",""
"Z-Image Turbo","runware","runware","p2-pencil-sketch-tech","true","3.0","0.0006","","","runware/z-image-turbo/p2-pencil-sketch-tech.png",""
"Z-Image Turbo","runware","runware","p3-relaxus-logo","true","4.1","0.0013","","","runware/z-image-turbo/p3-relaxus-logo.png",""
"Z-Image Turbo","runware","runware","p4-robot-dog-neon","true","3.4","0.0006","","","runware/z-image-turbo/p4-robot-dog-neon.png",""
"Z-Image Turbo","runware","runware","p5-cat-windowsill","true","5.2","0.0013","","","runware/z-image-turbo/p5-cat-windowsill.png",""
"ERNIE Image / Turbo","runware","runware","p1-magazine-cover","true","32.4","0.0013","","negativePrompt not supported — retried without it","runware/ernie-image-turbo/p1-magazine-cover.png",""
"ERNIE Image / Turbo","runware","runware","p2-pencil-sketch-tech","true","29.4","0.0019","","negativePrompt not supported — retried without it","runware/ernie-image-turbo/p2-pencil-sketch-tech.png",""
"ERNIE Image / Turbo","runware","runware","p3-relaxus-logo","true","33.5","0.0019","","negativePrompt not supported — retried without it","runware/ernie-image-turbo/p3-relaxus-logo.png",""
"ERNIE Image / Turbo","runware","runware","p4-robot-dog-neon","true","30.3","0.0013","","negativePrompt not supported — retried without it","runware/ernie-image-turbo/p4-robot-dog-neon.png",""
"ERNIE Image / Turbo","runware","runware","p5-cat-windowsill","true","32.5","0.0019","","negativePrompt not supported — retried without it","runware/ernie-image-turbo/p5-cat-windowsill.png",""
"Nano Banana 2 Lite","runware","runware","p1-magazine-cover","true","5.7","0.0336468","","model accepts fixed sizes only — used 1376x768","runware/nano-banana-2-lite/p1-magazine-cover.png",""
"Nano Banana 2 Lite","runware","runware","p2-pencil-sketch-tech","true","5.3","0.0336444","","model accepts fixed sizes only — used 1200x896","runware/nano-banana-2-lite/p2-pencil-sketch-tech.png",""
"Nano Banana 2 Lite","runware","runware","p3-relaxus-logo","true","6.0","0.0336099","","","runware/nano-banana-2-lite/p3-relaxus-logo.png",""
"Nano Banana 2 Lite","runware","runware","p4-robot-dog-neon","true","5.3","0.0336066","","model accepts fixed sizes only — used 1376x768","runware/nano-banana-2-lite/p4-robot-dog-neon.png",""
"Nano Banana 2 Lite","runware","runware","p5-cat-windowsill","true","4.9","0.0336075","","","runware/nano-banana-2-lite/p5-cat-windowsill.png",""
"Seedream 4.0","runware","runware","p1-magazine-cover","true","11.7","0.03","","negativePrompt not supported — retried without it; pixel budget 921600-16777216 — used 1312x736","runware/seedream-4-0/p1-magazine-cover.png",""
"Seedream 4.0","runware","runware","p2-pencil-sketch-tech","true","11.6","0.03","","negativePrompt not supported — retried without it; pixel budget 921600-16777216 — used 1136x848","runware/seedream-4-0/p2-pencil-sketch-tech.png",""
"Seedream 4.0","runware","runware","p3-relaxus-logo","true","8.7","0.03","","negativePrompt not supported — retried without it","runware/seedream-4-0/p3-relaxus-logo.png",""
"Seedream 4.0","runware","runware","p4-robot-dog-neon","true","10.5","0.03","","negativePrompt not supported — retried without it; pixel budget 921600-16777216 — used 1312x736","runware/seedream-4-0/p4-robot-dog-neon.png",""
"Seedream 4.0","runware","runware","p5-cat-windowsill","true","11.0","0.03","","negativePrompt not supported — retried without it","runware/seedream-4-0/p5-cat-windowsill.png",""
"Wan 2.7 Image","runware","runware","p1-magazine-cover","true","23.9","0.03","","negativePrompt not supported — retried without it","runware/wan-2-7-image/p1-magazine-cover.png",""
"Wan 2.7 Image","runware","runware","p2-pencil-sketch-tech","true","20.3","0.03","","negativePrompt not supported — retried without it","runware/wan-2-7-image/p2-pencil-sketch-tech.png",""
"Wan 2.7 Image","runware","runware","p3-relaxus-logo","true","16.4","0.03","","negativePrompt not supported — retried without it","runware/wan-2-7-image/p3-relaxus-logo.png",""
"Wan 2.7 Image","runware","runware","p4-robot-dog-neon","true","24.3","0.03","","negativePrompt not supported — retried without it","runware/wan-2-7-image/p4-robot-dog-neon.png",""
"Wan 2.7 Image","runware","runware","p5-cat-windowsill","true","22.3","0.03","","negativePrompt not supported — retried without it","runware/wan-2-7-image/p5-cat-windowsill.png",""
"Kling Image 3.0 Omni","runware","runware","p1-magazine-cover","true","61.3","0.028","","negativePrompt not supported — retried without it; model accepts fixed sizes only — used 1360x768","runware/kling-image-3-0-omni/p1-magazine-cover.png",""
"Kling Image 3.0 Omni","runware","runware","p2-pencil-sketch-tech","true","45.5","0.028","","negativePrompt not supported — retried without it; model accepts fixed sizes only — used 1168x880","runware/kling-image-3-0-omni/p2-pencil-sketch-tech.png",""
"Kling Image 3.0 Omni","runware","runware","p3-relaxus-logo","true","29.3","0.028","","negativePrompt not supported — retried without it","runware/kling-image-3-0-omni/p3-relaxus-logo.png",""
"Kling Image 3.0 Omni","runware","runware","p4-robot-dog-neon","true","46.5","0.028","","negativePrompt not supported — retried without it; model accepts fixed sizes only — used 1360x768","runware/kling-image-3-0-omni/p4-robot-dog-neon.png",""
"Kling Image 3.0 Omni","runware","runware","p5-cat-windowsill","true","44.5","0.028","","negativePrompt not supported — retried without it","runware/kling-image-3-0-omni/p5-cat-windowsill.png",""
"Seedream 4.5","runware","runware","p1-magazine-cover","true","14.4","0.04","","negativePrompt not supported — retried without it; pixel budget 3686400-16777216 — used 2608x1472","runware/seedream-4-5/p1-magazine-cover.png",""
"Seedream 4.5","runware","runware","p2-pencil-sketch-tech","true","13.1","0.04","","negativePrompt not supported — retried without it; pixel budget 3686400-16777216 — used 2256x1696","runware/seedream-4-5/p2-pencil-sketch-tech.png",""
"Seedream 4.5","runware","runware","p3-relaxus-logo","true","12.7","0.04","","negativePrompt not supported — retried without it; pixel budget 3686400-16777216 — used 1952x1952","runware/seedream-4-5/p3-relaxus-logo.png",""
"Seedream 4.5","runware","runware","p4-robot-dog-neon","true","12.8","0.04","","negativePrompt not supported — retried without it; pixel budget 3686400-16777216 — used 2608x1472","runware/seedream-4-5/p4-robot-dog-neon.png",""
"Seedream 4.5","runware","runware","p5-cat-windowsill","true","34.7","0.04","","negativePrompt not supported — retried without it; pixel budget 3686400-16777216 — used 1952x1952","runware/seedream-4-5/p5-cat-windowsill.png",""
"Qwen-Image 3.0 (Standard)","runware","runware","p1-magazine-cover","true","111.7","0.03","","","runware/qwen-image-3-0-standard/p1-magazine-cover.png",""
"Qwen-Image 3.0 (Standard)","runware","runware","p2-pencil-sketch-tech","true","63.2","0.03","","","runware/qwen-image-3-0-standard/p2-pencil-sketch-tech.png",""
"Qwen-Image 3.0 (Standard)","runware","runware","p3-relaxus-logo","true","49.2","0.03","","","runware/qwen-image-3-0-standard/p3-relaxus-logo.png",""
"Qwen-Image 3.0 (Standard)","runware","runware","p4-robot-dog-neon","true","64.4","0.03","","","runware/qwen-image-3-0-standard/p4-robot-dog-neon.png",""
"Qwen-Image 3.0 (Standard)","runware","runware","p5-cat-windowsill","true","63.3","0.03","","","runware/qwen-image-3-0-standard/p5-cat-windowsill.png",""
"FLUX.2 [pro]","runware","runware","p1-magazine-cover","true","13.0","0.03","","negativePrompt not supported — retried without it","runware/flux-2-pro/p1-magazine-cover.png",""
"FLUX.2 [pro]","runware","runware","p2-pencil-sketch-tech","true","13.0","0.03","","negativePrompt not supported — retried without it","runware/flux-2-pro/p2-pencil-sketch-tech.png",""
"FLUX.2 [pro]","runware","runware","p3-relaxus-logo","true","12.4","0.03","","negativePrompt not supported — retried without it","runware/flux-2-pro/p3-relaxus-logo.png",""
"FLUX.2 [pro]","runware","runware","p4-robot-dog-neon","true","10.5","0.03","","negativePrompt not supported — retried without it","runware/flux-2-pro/p4-robot-dog-neon.png",""
"FLUX.2 [pro]","runware","runware","p5-cat-windowsill","true","12.3","0.03","","negativePrompt not supported — retried without it","runware/flux-2-pro/p5-cat-windowsill.png",""
"FLUX.2 [klein] 9B","runware","runware","p1-magazine-cover","true","3.6","0.00078","","","runware/flux-2-klein-9b/p1-magazine-cover.png",""
"FLUX.2 [klein] 9B","runware","runware","p2-pencil-sketch-tech","true","3.4","0.00169","","","runware/flux-2-klein-9b/p2-pencil-sketch-tech.png",""
"FLUX.2 [klein] 9B","runware","runware","p3-relaxus-logo","true","4.7","0.00169","","","runware/flux-2-klein-9b/p3-relaxus-logo.png",""
"FLUX.2 [klein] 9B","runware","runware","p4-robot-dog-neon","true","3.7","0.00078","","","runware/flux-2-klein-9b/p4-robot-dog-neon.png",""
"FLUX.2 [klein] 9B","runware","runware","p5-cat-windowsill","true","4.5","0.00169","","","runware/flux-2-klein-9b/p5-cat-windowsill.png",""
"FLUX.2 [klein] 4B","runware","runware","p1-magazine-cover","true","2.6","0.0006","","","runware/flux-2-klein-4b/p1-magazine-cover.png",""
"FLUX.2 [klein] 4B","runware","runware","p2-pencil-sketch-tech","true","3.3","0.0006","","","runware/flux-2-klein-4b/p2-pencil-sketch-tech.png",""
"FLUX.2 [klein] 4B","runware","runware","p3-relaxus-logo","true","3.4","0.0006","","","runware/flux-2-klein-4b/p3-relaxus-logo.png",""
"FLUX.2 [klein] 4B","runware","runware","p4-robot-dog-neon","true","3.2","0.0006","","","runware/flux-2-klein-4b/p4-robot-dog-neon.png",""
"FLUX.2 [klein] 4B","runware","runware","p5-cat-windowsill","true","3.5","0.0006","","","runware/flux-2-klein-4b/p5-cat-windowsill.png",""
"FLUX.2 [klein] 9B Base","runware","runware","p1-magazine-cover","true","5.8","0.00169","","","runware/flux-2-klein-9b-base/p1-magazine-cover.png",""
"FLUX.2 [klein] 9B Base","runware","runware","p2-pencil-sketch-tech","true","6.8","0.00247","","","runware/flux-2-klein-9b-base/p2-pencil-sketch-tech.png",""
